id,name,address,city,phone,type,avg_rating,total_reviews_count,first_review_date,last_review_date
577.0,capp's corner,1600 powell st.,san francisco,415/989-2589,italian,4.5,32.0,,2015-07-08
578.0,carta,1772 market st.,san francisco,415/863-3516,american,4.5,28.0,2016-07-08,2017-09-01
579.0,chevys,,san francisco,415/543-8060,mexican/latin american/spanish,5.0,54.0,,
580.0,cypress club,500 jackson st.,san francisco,415/296-8555,american,3.5,,2013-03-17,2013-08-06
581.0,des alpes,732 broadway,,,french,3.9,7.0,2021-08-07,2023-06-04
,faz,161 sutter st.,san francisco,415/362-0404,greek and middle eastern,,64.0,2017-05-08,2017-06-13
583.0,fog city diner,1300 battery st.,san francisco,415/982-2000,,7.0,7.0,2019-04-12,2021-06-04
584.0,garden court,market and new montgomery sts.,san francisco,415/546-5011,old san francisco,3.1,14.0,,2012-07-08
585.0,gaylord's,ghirardelli sq.,san francisco,415/771-8822,asian,3.5,4.0,,2021-11-17
586.0,grand cafe hotel monaco,501 geary st.,san francisco,415/292-0101,american,4.4,92.0,2014-01-15,2017-01-07
587.0,greens,bldg. a fort mason,san francisco,415/771-6222,vegetarian,3.9,76.0,2018-07-10,2020-02-13
588.0,harbor village,4 embarcadero center,san francisco,415/781-8833,asian,3.9,26.0,2019-08-27,
,,2100 van ness ave.,san francisco,415/673-1888,steak houses,2.9,65.0,2013-01-02,
590.0,harry denton's,161 steuart st.,san francisco,,american,7.0,,2013-02-10,2014-09-04
591.0,hayes street grill,,san francisco,415/863-5545,seafood,4.1,11.0,2010-09-18,2015-08-08
592.0,helmand,430 broadway,,415/362-0641,greek and middle eastern,3.9,29.0,2017-04-06,2022-03-20
593.0,hong kong flower lounge,5322 geary blvd.,,415/668-8998,asian,4.4,7.0,2019-04-16,2021-10-04
594.0,hong kong villa,2332 clement st.,san francisco,415/752-8833,asian,,1.0,,2019-08-15
595.0,hyde street bistro,1521 hyde st.,san francisco,415/441-7778,italian,,10.0,,2014-06-23
596.0,il fornaio levi's plaza,1265 battery st.,san francisco,,italian,,60.0,2013-10-19,2014-07-01
597.0,izzy's steak & chop house,3345 steiner st.,san francisco,415/563-0487,steak houses,4.3,48.0,2014-11-01,
598.0,jack's,615 sacramento st.,san francisco,415/986-9854,old san francisco,4.4,32.0,2020-12-29,2023-02-12
599.0,kabuto sushi,5116 geary blvd.,,415/752-5652,asian,4.7,53.0,2011-06-28,
