id,name,address,city,phone,type,avg_rating,total_reviews_count,first_review_date,last_review_date
1,arnie morton's of chicago,,los angeles,310/246-1501,american,4.0,17.0,2011-03-15,2015-10-04
2,arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses,3.6,43.0,,2015-02-10
3,art's delicatessen,12224 ventura blvd.,studio city,818/762-1221,american,3.8,28.0,2018-12-15,2021-12-25
4,art's deli,12224 ventura blvd.,studio city,818-762-1221,delis,4.1,120.0,2016-11-28,
5,hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,californian,4.0,132.0,2010-01-25,2012-02-09
6,bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian,3.6,58.0,2016-10-22,2018-01-21
7,cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,3.9,41.0,2019-08-28,2020-09-29
8,cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro,4.6,32.0,2022-03-15,2019-12-12
9,campanile,624 s. la brea ave.,los angeles,213/938-1447,american,4.4,49.0,2014-08-10,2019-03-15
10,campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,3.7,10.0,2012-11-01,
11,chinois on main,2709 main st.,santa monica,310/392-9025,french,4.3,144.0,2013-09-18,
12,chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave,,22.0,2013-07-23,2015-10-08
13,citrus,6703 melrose ave.,los angeles,213/857-0034,californian,4.3,21.0,2014-02-28,2016-11-05
14,citrus,6703 melrose ave.,los angeles,213-857-0034,californian,4.2,205.0,2013-08-15,2014-11-26
15,fenix,8358 sunset blvd. west,hollywood,213/848-6677,american,4.6,156.0,2015-06-27,2018-02-16
16,fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new),3.7,81.0,2010-06-29,2013-12-29
17,granita,23725 w. malibu rd.,malibu,310/456-0488,californian,4.5,13.0,2013-04-21,2014-07-31
18,granita,23725 w. malibu rd.,malibu,310-456-0488,californian,4.8,62.0,2013-10-11,2016-09-24
