genres,keywords,original_language,original_title
Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,en,Avatar
Adventure Fanta Action,ocean drug abuse exotic island east india trading company love of one's life,en,Pirates of the Caribbean: At World's End
Adventure Fantasy,elves dwarves orcs hobbit dragon,en,The Hobbit: The Desolation of Smaug
Adventure Fantasy,england compass experiment lordship uncle,en,The Golden Compass
Drama Romance Thriller,shipwreck iceberg ship panic titanic,en,Titanic
Adventure Action Science Fiction,civil war waren marvel comic sequel superhero,en,Captain America: Civil War
Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,en,Battleship
Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,en,Alice in Wonderland
Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,en,X-Men: The Last Stand
Animation Family,monster dormitory games animation best friend,en,Monsters University
Science Fictione Action Adventure,egypt sun chaos symbol artifact,en,Transformers: Revenge of the Fallen
Science Fiction Action Adventure,sequel alien transformers giant robot robot roboter,en,Transformers: Age of Extinction
Fantasy Adventure Family,circus witch magic hope illusion,en,Oz: The Great and Powerful
Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,en,The Amazing Spider-Man 2
Action Science Fiction Thrillario,saving the world artificial intelligence prophecy san francisco cyborg,en,Terminator Salvation
Action,car race speed revenge suspense car,en,Furious 7
Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,en,World War Z
Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,en,X-Men: Days of Future Past
Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,en,Star Trek Into Darkness
Action Family Fantasy,based on fairy tale GIANTE,en,Jack the Giant Slayer
Drama Romance,based on novel infidelity obsession hope 3d,en,The Great Gatsby
Adventure Fantasyia  Action Romance,persia sandstorm brother against brother armageddon regent,en,Prince of Persia: The Sands of Time
Animation Family,romantic comedy,en,WALLÂ·E
Action Comedy Crime Thriller,ambassador,en,Rush Hour 3
Fantasy Comedy Family,father son relationship daily life married couple support father,en,Evan Almighty
Action Science Fiction,deja vu time warp restart dystopia war,en,Edge of Tomorrow
Ädventure Action,ocean tattoo mutant water dystopia,en,Waterworld
