dataset_id,row_id,column_name,raw_value,human_mean_1_5,human_mean_0_1,human_median_0_1,human_std_0_1,human_iqr_0_1,human_min_0_1,human_max_0_1,human_ci95_lower_0_1,human_ci95_upper_0_1,n_ratings,n_missing
D6,1,tool,Schaftfräser,4,0.75,0.75,0.282842712474619,0.5,0.0,1.0,0.6412787615398551,0.8587212384601449,26,1
D6,1,tool_material,HSS,2.260869565217391,0.31521739130434784,0.25,0.3552959018418488,0.5,0.0,1.0,0.17001213039705904,0.46042265221163664,23,4
D6,1,component,Deckel,4.826086956521739,0.9565217391304348,1.0,0.12275654752588275,0.0,0.5,1.0,0.9063525803555382,1.0,23,4
D6,2,tool,Schaftfraeser,3.6666666666666665,0.6666666666666666,0.75,0.2773500981126146,0.375,0.0,1.0,0.5620496061806763,0.7712837271526569,27,0
D6,2,tool_material,Hochleistungsschnellschnittstahl,4,0.75,0.75,0.25495097567963926,0.5,0.25,1.0,0.652,0.848,26,1
D6,2,component,Dichtung zu Deckel D200,4.038461538461538,0.7596153846153846,0.75,0.2596225070248074,0.4375,0.25,1.0,0.6598197057771057,0.8594110634536635,26,1
D6,3,tool,Boherer,4.222222222222222,0.8055555555555556,0.75,0.16012815380508713,0.25,0.5,1.0,0.7451548675221418,0.8659562435889694,27,0
D6,3,tool_material,HM,2.4444444444444446,0.3611111111111111,0.25,0.327676356900822,0.5,0.0,1.0,0.23751087630678436,0.48471134591543785,27,0
D6,3,component,Achse zu Deckel,3.9615384615384617,0.7403846153846154,0.75,0.27821546713625783,0.5,0.25,1.0,0.6334420327697778,0.847327197999453,26,1
D6,4,tool,Walzenstirnfräser,3.5185185185185186,0.6296296296296297,0.5,0.3129448400828378,0.5,0.0,1.0,0.5115861550229202,0.7476731042363391,27,0
D6,4,tool_material,Hartmetall,4.62962962962963,0.9074074074074074,1.0,0.157323590890598,0.25,0.5,1.0,0.8480646066077048,0.9667502082071101,27,0
D6,4,component,Senkschraube,4.8076923076923075,0.9519230769230769,1.0,0.1228664064997176,0.0,0.5,1.0,0.9046947507522352,0.9991514030939186,26,1
D6,5,tool,Planfräser,3.962962962962963,0.7407407407407407,0.75,0.27281898656471737,0.5,0.25,1.0,0.6378328253897294,0.843648656091752,27,0
D6,5,tool_material,WSP,2.037037037037037,0.25925925925925924,0.25,0.3359936575171292,0.375,0.0,1.0,0.1325217205650919,0.38599679795342656,27,0
D6,5,component,Silikonprofilring D 250,3.8076923076923075,0.7019230769230769,0.75,0.23472569916000643,0.4375,0.25,1.0,0.6116974229268145,0.7921487309193392,26,1
D6,6,tool,Schaftfräser,4,0.75,0.75,0.29417420270727607,0.5,0.0,1.0,0.6390368506538296,0.8609631493461704,27,0
D6,6,tool_material,Schnellarbeitsstahl,4.296296296296297,0.8240740740740741,1.0,0.22802259097357436,0.25,0.25,1.0,0.7380634566112001,0.910084691536948,27,0
D6,6,component,Distanzrolle,3.8076923076923075,0.7019230769230769,0.75,0.27403677462368775,0.5,0.25,1.0,0.5965867319982117,0.8072594218479421,26,1
