tool,tool_material,component
Schaftfräser,HSS,Deckel
Schaftfraeser,Hochleistungsschnellschnittstahl,Dichtung zu Deckel D200
Boherer,HM,Achse zu Deckel
Walzenstirnfräser,Hartmetall,Senkschraube
Planfräser,WSP,Silikonprofilring D 250
Schaftfräser,Schnellarbeitsstahl,Distanzrolle
Planfräser,VollHARTmetall,SechskantMutter
Kugelfräser,CBN,Flansch
Nutenfräser,HSSS,Welllle
T-Nutenfräser,Carbide,Unterlegscheibe
Fasenfräser,Wendeschneidplatte,Adapterplatte
Walzenstirnfräser,Keramik,Klemmstück
Wendepl@!!enfräser,HM,Spannpratze
Scheibenfräser,Solid Carbide,Sicherungsring
Zentrierbohrer,Hochleistungsschnellschnittstahl,Bohrung
Stufenbohrer,VHM,Deckel
Gewindebohrer,Schneidpla!!e,Senkschraube
Kegelsenker,Hartmetall,Molekularsieb
Drehmeißel,WSP,Lager
Ausdrehwerkzeug,Schnellarbeitsstahl,Gewindestift
Schaftfraeser,Vollhartmetall,Halter
Planfraeser,CBN,Ventilblock
Kugelfraeser,HSS,Riemenscheibe
Nutfräser,Carbide,Dichtscheibe
T Nutenfraeser,Wendeschneidplatte,L@gersitz
Walzenstirnfraeser,HM,Dichtung
WSP-Fräser,Solid Carbide,Silikonprofilring D250
Scheibenfraeser,PKD,T-Nutenstein
BoHrer,Hochleistungsschnellschnittstahl,Gehäuse
Zentrierboher,VHM,Zahnrad
Stufen-Bohrer,Schneidplatte,Bolzen
Reib-Ahle,Hartmetall,Grundplatte
Senker,WSP,Kupplungshälfte
Drehmeissel,PCD,Distanzhülse
Stechmeissel,Schnellarbeitsstahl,Anschlussplatte
Ausdrehstahl,Vollhartmetall,Nut
Schaft-Fraeser,CBN,Tasche
PlanFr@eser,HSS,Achse
KUUgelfraeser,Carbide,Abstandrolle
Nuten-Fräser,Wendorschneidplatte,Hex nut
T-nuten fäser,Keramik,Flange
Walzen-Stirn-Fräser,Solid Carbide,Washer
WSP Fräser,Polykristalliner Diamant,Adapter plate
Schlitzsäge,Hochleistungsschnellschnittstahl,Clamp block
Bohr.,VHM,Clamp strap
Zentrierbohrer ,Schneidplatte,Circlip
GEWEINDEBOHRER,Hartmetall,Hole
RA!b@HLe,WSP,Lagerdeckel
Senker,PCD,Senkschraue
Drehmeisel,Schnellarbeitsstahl,F@der-Schaibe
Borhrstannge,CBN,Wälzlager
Schafftfraeser,HSS,Passss-Faeder
Messerkopf,Carbide,Stellschraube
Kue!fr@ser,Wendeschneidplatte,HAL!ter
Nuten-Fraeser,Keramik,Verteiler
T-Nutfräser,HM,Riemens-Scabe
Fasen-Fraeser,Solid Carbide,Dichtscheibe
Walzenstirnfraser,PKD,LAgersitZ
Wendeplattenfraeser,Hochleistungsschnellschnittstahl,Faser
Scheiben-Fräser,VHM,Dichtung zu Deckel
Bohrererer,Schneidplatte,Profilring
Stufenboher,Hartmetall,Gehaeuse
Gewinde boher,WSP,ZaHNraD
Kegel-Senker,Schnellarbeitsstahl,Huelse
Dreh-Meißel,Vollhartmetall,Grund-Platte
Stech-Drehmeißel,CBN,Kupplungshaelfte
Ausdreh-Werkzeug,HSS,Distanzhuelse
Schaft fräser,Carbide,Verdbindungs-PLAtte
Plan-Fräser,Wendeschneidplatte,Slitz
Kugel fräser,Keramik,Tase
Nut Fräser,HM,Achse D20
T Nut Fraeser,Volles Hartes METall,Rollenabstand
Fasenfräser,PKD,Mutter M10
Walzenstirnfräser,Hochleistungsschnellschnittstahl,Anschlussflansch
Wendeplattenfräser,VHM,Antriebswelle
Scheibenfräser,Schneidplatte,Scheibe M8
Zentrierbohrer,Hartmetalll,Klemmstueck
Stuffenbohrer,WSP,Spann-Pratze
Gewindebohrer,PCD,Seegerring
Reibahle,Schnellarbeitsstahl,Werkzeug-Halter
Kegelsenker,Vollhartmetall,Durchgangsbohrung
Drehmeißel,CBN,Abdeckung
Ausdrehwerkzeug,Carbide,Feder-Ring
Schaftfräser,Wende-schneidplatte,Molekular-Sieb
Planfräser,Keramik,LAgerSitz
Kugelfräser,HM,Passfeder DIN 6885
T-Nutenfräser,PKD,Haltewinkel
Fasenfräser,Hochleistungsschnellschnittstahl,Ventil-Block
Walzenstirnfraeser,VHM,Riemen-Scheibe
WSP-Fräser,Schneidplatte,Dicht-Scheibe
Bohrer,Hartmetall,Fase 1x45°
Zentrierboher,WSP,Flachdichtung
Gewinde-Bohrer,Schnellarbeitsstahl,T-SchlIT!mu/er
Reib-Ahle,Vollhartmetall,Gehäuse
Senker,CBN,Stirnrad
Drehmeissel,HSS,Steckbolzen
Stechmeissel,Carbide,Bushing
Ausdrehstahl,Wendeschneidplatte,Grund-Platte
Nutenfräser,Hartmetall,Federring
T-Nutenfräser,HM,Sechskantmutter
