words,readability,difficulty,wordExistence,synonyms,homonyms,hypernyms
hello,1,1,1,17.6,0.5,52
DANGERously,0.7,0.9,0.72,5.1,0.7,6.7
curiosoty,0.63,0.78,0.66,3.9,0.9,6.8
Myocarditis,0.54,0.23,0.84,0.5,0,3.2
seperate,0.89,0.87,0.9,4.5,1.7,2.7
UNKN,0.2,0.12,0.15,0.8,2.2,0.2
techonolggy,0.73,0.86,0.63,3.1,1.2,1092.8
0bj3ct!v3,0.37,0.61,0.23,2.8,6.4,1800.9
oragne,0.65,0.89,0.74,1.7,1.2,7.3
trcking,0.64,0.78,0.8,2.9,2.5,2.8
b!v@w$,0.03,0,0,0,0,0.2
bank,0.96,1,1,4.8,2.9,5.2
ETA,0.82,0.58,0.61,1.8,5.2,1.6
rapid,0.97,0.97,1,6.4,2,4.2
f0LloWeRs,0.53,0.74,0.37,4.9,11.1,5.6
vhigh,0.39,0.58,0.49,6,3.4,6
banana,0.995,1,1,0.7,1.2,3.8
ontology,0.92,0.59,0.97,0.8,0.5,8.3
acommodate,0.9,0.83,0.91,4.2,1.7,2.9
btw.,0.93,0.87,0.72,2.2,1,1.5
