Book-Title,Book-Author,Publisher
The F Word,Jesse Sheidlower,Random House Reference Publishing
Davids Rache.,Hans Werner Kettenbach,Diogenes Verlag
Sky Knife,Marella Sands,Tor Books
The Groves of Academe,Mary McCarthy,Harcourt
"Karen's Lucky Penny (Baby-Sitters Little Sister, 50)",Ann M. Martin,Scholastic
"Game Of Chance (Silhouette Romance, #157)",Donna Vitek,Silhouette Books
The Teaching of Reverence for Life.,"Albert, Schweitzer","Henry Holt &amp; Company, Inc."
Finn'S Twins! (From Here To Paternity) (From Here to Paternity),Ann McAllister,Harlequin
Mackenzie'S Mountain,Linda Howard,Mira
And the Fans Roared: The Sports Broadcasts That Kept Us on the Edge of Our Seats (Book + 2 Audio CDs),Joe Garner,Sourcebooks
Birth over thirty,Sheila Kitzinger,Penguin Books
"Other Voices, Other Vistas: Short Stories from Africa, China, India, Japan, and Latin America",Barbara H. Solomon,Signet Book
"I Wasn't Ready to Say Goodbye: Surviving, Coping and Healing After the Sudden Death of a Loved One",Brook Noel,Champion Press Ltd
Lord of Thunder (An Avon Romantic Treasure),Emma Merritt,Harper Mass Market Paperbacks (Mm)
Blood Meridian : Or the Evening Redness in the West (Modern Library),CORMAC MCCARTHY,Modern Library
"Take the Reins: A Father Teaches His Son About Life, Commitment and Spirituality",John L. Moore,Thomas Nelson Inc
Behavior in Organizations: Understanding &amp; Managing the Human Side of Work,Jerald Greenberg,Prentice Hall
TRY,Dennis Cooper,Grove Press
Kolon,Raul Alberto Lilloy,Ediciones Riverrum
The Dancing Healers : A Doctor's Journey of Healing with Native Americans,Carl A. Hammerschlag,HarperSanFrancisco
How to Survive Your Husband's Midlife Crisis: Strategies and Stories from the Midlife Wives Club,Gay Courter,Perigee Books
Im RÃ?Â¼cken steckt das Messer. Geschichten aus der Gerichtsmedizin.,Hans Bankl,Goldmann
The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,Penguin Books
Anatomy of A Life Possessed,Maria Ferrara Pema,Winner Episode Press
Death by Dreaming,Jon Manchip White,Ace Books
Tails of Love: Pets Play Matchmaker in Four Modern Love Stories,Lauralee Bliss,Barbour Publishing
Control Tower,Robert Davis,Fawcett Books
Wallace and Gromit in Nick Park's a Close Shave,Graham Marks,Doubleday Books
"More, Now, Again: A Memoir of Addiction",Elizabeth Wurtzel,Touchstone Books
So Different,Stirling,Prentice Hall (a Pearson Education company)
Don't Ask the Price: The Memoirs of the President of Marks &amp; Spencer,Marcus Sieff,HarperCollins Publishers
Natural Magic,Doreen Valiente,Phoenix Publishing (WA)
"Drop - Dead Gorgeous (Sweet Talkin' Guys) (Temptation, 781)",Lyn Ellis,Harlequin
Hippo Murderous Maths: The Essential Arithmetricks,Kjartan Poskitt,Scholastic Paperbacks (Mm)
HIGHLAND VELVET,Jude Deveraux,Pocket
Slam (Alloy Books),Cecily Von Ziegesar,Puffin Books
The Bob Book: A Celebration of the Ultimate Okay Guy,David Rensin,Dell Publishing Company
NEGOTIATE TO CLOSE : HOW TO MAKE MORE SUCCESSFUL DEALS,Gary Karrass,Fireside
If Chins Could Kill : Confessions of a B Movie Actor,Bruce Campbell,L.A. Weekly Books
Dancing Aztecs,Donald E. Westlake,Natl Book Network
Dessous (TASCHEN Icons Series),Gilles Neret,Taschen
Skystalker (Be An Interplanetary Spy No. 12),Len Neufeld,Bantam Books
Sometimes I Wake Up Grumpy . . . and Sometimes I Let Him Sleep,Karen Scalf Linamen,Revell
Hidden Touch,Virginia Brown,Zebra Books
Minerva,Marion Chesney,Fawcett Books
"Dad Like Daniel (From Here To Maternity) (Silhouette Desire, No 908)",Elizabeth Bevarly,Silhouette
Angelica: A Novel of Samaria,Sharon Shinn,Ace Books
When Will I Be Famous: Travels Through the Dark Side of Show Business,Martin Kelner,BBC
The Whole Story and Other Stories,ALI SMITH,Anchor Pub
Little Angie,Emma Cave,"Coward, McCann &amp; Geoghegan"
