Book-Title,Book-Author,Publisher
The F Word,Jesse Sheidlower,Random House Reference Publishing
Davids Rache.,Hans Werner Kettenbach,Diogenes Verlag
Sky Knife,Marella Sands,Tor Books
The Groves of Academe,Mary McCarthy,Harcourt
"Karen's Lucky Penny (Baby-Sitters Little Sister, 50)",Ann M. Martin,Scholastic
"Game Of Chance (Silhouette Romance, #157)",Donna Vitek,Silhouette Books
The Teaching of Reverence for Life.,"Albert, Schweitzer","Henry Holt &amp; Company, Inc."
Finn'S Twins! (From Here To Paternity) (From Here to Paternity),Ann McAllister,Harlequin
Mackenzie'S Mountain,Linda Howard,Mira
And the Fans Roared: The Sports Broadcasts That Kept Us on the Edge of Our Seats (Book + 2 Audio CDs),Joe Garner,Sourcebooks
Birth over thirty,Sheila Kitzinger,Penguin Books
"Other Voices, Other Vistas: Short Stories from Africa, China, India, Japan, and Latin America",Barbara H. Solomon,Signet Book
"I Wasn't Ready to Say Goodbye: Surviving, Coping and Healing After the Sudden Death of a Loved One",Brook Noel,Champion Press Ltd
Lord of Thunder (An Avon Romantic Treasure),Emma Merritt,Harper Mass Market Paperbacks (Mm)
Blood Meridian : Or the Evening Redness in the West (Modern Library),CORMAC MCCARTHY,Modern Library
"Take the Reins: A Father Teaches His Son About Life, Commitment and Spirituality",John L. Moore,Thomas Nelson Inc
Behavior in Organizations: Understanding &amp; Managing the Human Side of Work,Jerald Greenberg,Prentice Hall
TRY,Dennis Cooper,Grove Press
Kolon,Raul Alberto Lilloy,Ediciones Riverrum
The Dancing Healers : A Doctor's Journey of Healing with Native Americans,Carl A. Hammerschlag,HarperSanFrancisco
How to Survive Your Husband's Midlife Crisis: Strategies and Stories from the Midlife Wives Club,Gay Courter,Perigee Books
Im RÃ?Â¼cken steckt das Messer. Geschichten aus der Gerichtsmedizin.,Hans Bankl,Goldmann
The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,Penguin Books
Anatomy of A Life Possessed,Maria Ferrara Pema,Winner Episode Press
Death by Dreaming,Jon Manchip White,Ace Books
Tails of Love: Pets Play Matchmaker in Four Modern Love Stories,Lauralee Bliss,Barbour Publishing
Control Tower,Robert Davis,Fawcett Books
Wallace and Gromit in Nick Park's a Close Shave,Graham Marks,Doubleday Books
"More, Now, Again: A Memoir of Addiction",Elizabeth Wurtzel,Touchstone Books
So Different,Stirling,Prentice Hall (a Pearson Education company)
Don't Ask the Price: The Memoirs of the President of Marks &amp; Spencer,Marcus Sieff,HarperCollins Publishers
Natural Magic,Doreen Valiente,Phoenix Publishing (WA)
"Drop - Dead Gorgeous (Sweet Talkin' Guys) (Temptation, 781)",Lyn Ellis,Harlequin
Hippo Murderous Maths: The Essential Arithmetricks,Kjartan Poskitt,Scholastic Paperbacks (Mm)
HIGHLAND VELVET,Jude Deveraux,Pocket
Slam (Alloy Books),Cecily Von Ziegesar,Puffin Books
The Bob Book: A Celebration of the Ultimate Okay Guy,David Rensin,Dell Publishing Company
NEGOTIATE TO CLOSE : HOW TO MAKE MORE SUCCESSFUL DEALS,Gary Karrass,Fireside
If Chins Could Kill : Confessions of a B Movie Actor,Bruce Campbell,L.A. Weekly Books
Dancing Aztecs,Donald E. Westlake,Natl Book Network
Dessous (TASCHEN Icons Series),Gilles Neret,Taschen
Skystalker (Be An Interplanetary Spy No. 12),Len Neufeld,Bantam Books
Sometimes I Wake Up Grumpy . . . and Sometimes I Let Him Sleep,Karen Scalf Linamen,Revell
Hidden Touch,Virginia Brown,Zebra Books
Minerva,Marion Chesney,Fawcett Books
"Dad Like Daniel (From Here To Maternity) (Silhouette Desire, No 908)",Elizabeth Bevarly,Silhouette
Angelica: A Novel of Samaria,Sharon Shinn,Ace Books
When Will I Be Famous: Travels Through the Dark Side of Show Business,Martin Kelner,BBC
The Whole Story and Other Stories,ALI SMITH,Anchor Pub
Little Angie,Emma Cave,"Coward, McCann &amp; Geoghegan"
So Big! (Playtime Rhyme),Public Domain,HarperFestival
Je ne suis pas amoureuse,Anne Casanova,Flammarion
The Summer of Katya,Trevanian,Ballantine Books
Immortal Image,Jaye Roycraft,Imajinn Books
The People's Lawyer,Philip Ells,Virgin Publishing
"The Adventures of a Lesbian College School Girl (The Adventures of a Lesbian College School Girls , Vol 1)",Petra Waldron,Amerotica
PALMISTRY : HOW TO CHART THE LINES OF YOUR LIFE,Roz Levine,Fireside
Dead of Light (New English Library (Hodder and Stoughton).),Chaz Brenchley,Trafalgar Square
Les mousquetaires (Les Grands romans d'Alexandre Dumas),Alexandre Dumas,R. Laffont
Year's Best Sf 9 (Year's Best SF (Science Fiction)),David G. Hartwell,Eos
Wahnsinn Wachstum. Wieviel Mensch ertrÃ?Â¤gt die Erde.,Reiner Klingholz,Gruner &amp; Jahr
"The Cat Companion: The History, Culture, and Everyday Life of the Cat",Amy Shojai,BDD Promotional Books Company
The Scribner Anthology of Contemporary Short Fiction : Fifty North American American Stories Since 1970,Michael Martone,Touchstone
The photographer as designer,Vivian Varney,Davis Publications
The Puppy Who Wanted a Boy,Jane Thayer,HarperCollins Publishers
Darksaber,Kevin J. Anderson,Bantam Books
Something Queer at the Haunted School (Yearling Book),Elizabeth Levy,Yearling Books
Unbelievably Good Deals and Great Adventures That You Absolutely Can't Get Unless You're over 50 (4th Ed),Joan Rattner Heilman,Contemporary Books
Terrorism: Theirs and Ours,Eqbal Ahmad,Seven Stories Press
"The Myth of the Eternal Return: Or, Cosmos and History",Mircea Eliade,Princeton University Press
Tonka Big Book of Trucks,Patricia Relf,Scholastic
When Duty Calls: 2 Novels in 1,Joanna Wayne,Harlequin
Wat enigjes (BB literair),Marten Toonder,De Bezige Bij
Wounds of Passion: A Writing Life,Bell Hooks,Henry Holt &amp; Company
"Courtship Of Dani (Silhouette Romances, No 417)",Ginna Gray,Silhouette
Rumpelstiltskin,Jonathan Langley,HarperCollins Publishers
Who got Einstein's office?: Eccentricity and genius at the Institute for Advanced Study,Edward Regis,Addison-Wesley
Swimming in the Volcano: A Novel,Bob Shacochis,Simon &amp; Schuster
The Mammoth Book of Spy Thrillers,John Winwood,Pub Group West
Beloved Enemy,Barbara Corcoran,Ballantine Books
Science in Action: How to Follow Scientists and Engineers Through Society,Bruno Latour,Harvard University Press
"Visionaries: People &amp; Ideas to Change Your Life (Utne Reader Books, 2)",Jay Walljasper,New Society Publishers
Warrior Moon,Sara Orwig,Zebra Books
Rey de gatos (Rotativa ; 215 : Novela),Concha AlÃ³s,Plaza &amp; JanÃ©s
In the Dark (Intimate Moments),Heather Graham,Silhouette
I'm the King of the Castle,Susan Hill,Penguin USA
Getting to 'I Do',Pat Allen,Perennial Currents
"Valkyries: Some Through the Fire (Valkyries, Turning to Christ, a Young Woman Learns the Reali)",Jeri Massi,Moody Publishers
The Last Time I Wore a Dress,Daphne Scholinski,Riverhead Books
Tempting Faith DiNapoli : A Novel,Lisa Gabriele,Simon &amp; Schuster
Evidence of Love,John Bloom,Bantam Books
