Book-Title,Book-Author,Publisher
The F Word,Jesse Sheidlower,Random House Reference Publishing
Davids Rache.,Hans Werner Kettenbach,Diogenes Verlag
Sky Knife,Marella Sands,Tor Books
The Groves of Academe,Mary McCarthy,Harcourt
"Karen's Lucky Penny (Baby-Sitters Little Sister, 50)",Ann M. Martin,Scholastic
"Game Of Chance (Silhouette Romance, #157)",Donna Vitek,Silhouette Books
The Teaching of Reverence for Life.,"Albert, Schweitzer","Henry Holt &amp; Company, Inc."
Finn'S Twins! (From Here To Paternity) (From Here to Paternity),Ann McAllister,Harlequin
Mackenzie'S Mountain,Linda Howard,Mira
And the Fans Roared: The Sports Broadcasts That Kept Us on the Edge of Our Seats (Book + 2 Audio CDs),Joe Garner,Sourcebooks
Birth over thirty,Sheila Kitzinger,Penguin Books
"Other Voices, Other Vistas: Short Stories from Africa, China, India, Japan, and Latin America",Barbara H. Solomon,Signet Book
"I Wasn't Ready to Say Goodbye: Surviving, Coping and Healing After the Sudden Death of a Loved One",Brook Noel,Champion Press Ltd
Lord of Thunder (An Avon Romantic Treasure),Emma Merritt,Harper Mass Market Paperbacks (Mm)
Blood Meridian : Or the Evening Redness in the West (Modern Library),CORMAC MCCARTHY,Modern Library
"Take the Reins: A Father Teaches His Son About Life, Commitment and Spirituality",John L. Moore,Thomas Nelson Inc
Behavior in Organizations: Understanding &amp; Managing the Human Side of Work,Jerald Greenberg,Prentice Hall
TRY,Dennis Cooper,Grove Press
Kolon,Raul Alberto Lilloy,Ediciones Riverrum
The Dancing Healers : A Doctor's Journey of Healing with Native Americans,Carl A. Hammerschlag,HarperSanFrancisco
