mesTime,DQdimension,DQmetric,DQgranularity,DQvalue,DQexplanation,tableName,columnNames,dataset,explain,column,metric_family
2026-02-25 14:38:13.132065,Readability,wordnet,table,0.4640106481814004,"{'content_readability_wordnet_only': 0.4640106481814004, 'use_llm_fallback': False}",car,,data\car__auto.json,"{'content_readability_wordnet_only': 0.4640106481814004, 'use_llm_fallback': False}",,wordnet
2026-02-25 14:38:13.132065,Readability,wordnet,schema,0.42857142857142855,"{'schema_readability_wordnet_only': 0.42857142857142855, 'use_llm_fallback': False}",car,,data\car__auto.json,"{'schema_readability_wordnet_only': 0.42857142857142855, 'use_llm_fallback': False}",,wordnet
2026-02-25 14:38:13.132065,Readability,wordnet,column,0.5147569444444434,"{'content_readability_wordnet_only': 0.5147569444444434, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",car,['buying'],data\car__auto.json,"{'content_readability_wordnet_only': 0.5147569444444434, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",buying,wordnet
2026-02-25 14:38:13.132065,Readability,wordnet,column,0.5147569444444469,"{'content_readability_wordnet_only': 0.5147569444444469, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.25}",car,['maint'],data\car__auto.json,"{'content_readability_wordnet_only': 0.5147569444444469, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.25}",maint,wordnet
2026-02-25 14:38:13.132065,Readability,wordnet,column,0.0,"{'content_readability_wordnet_only': 0.0, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",car,['doors'],data\car__auto.json,"{'content_readability_wordnet_only': 0.0, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",doors,wordnet
2026-02-25 14:38:13.132065,Readability,wordnet,column,0.6000000000000029,"{'content_readability_wordnet_only': 0.6000000000000029, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",car,['persons'],data\car__auto.json,"{'content_readability_wordnet_only': 0.6000000000000029, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",persons,wordnet
2026-02-25 14:38:13.132065,Readability,wordnet,column,0.6892911010557973,"{'content_readability_wordnet_only': 0.6892911010557973, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.25}",car,['lug_boot'],data\car__auto.json,"{'content_readability_wordnet_only': 0.6892911010557973, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.25}",lug_boot,wordnet
2026-02-25 14:38:13.132065,Readability,wordnet,column,0.6863425925926014,"{'content_readability_wordnet_only': 0.6863425925926014, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",car,['safety'],data\car__auto.json,"{'content_readability_wordnet_only': 0.6863425925926014, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",safety,wordnet
2026-02-25 14:38:13.132065,Readability,wordnet,column,0.24292695473251089,"{'content_readability_wordnet_only': 0.24292695473251089, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",car,['class'],data\car__auto.json,"{'content_readability_wordnet_only': 0.24292695473251089, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",class,wordnet
2026-02-25 14:39:18.399453,Readability,llm,table,0.5583228174935685,"{'content_readability': 0.5583228174935685, 'content_readability_wordnet_only': 0.4640106481814004, 'llm_uplift_content': 0.09431216931216807, 'llm_mode': 'fallback', 'llm_tokens_count_total': 4, 'unique_tokens_count_total': 20, 'llm_tokens_share_total': 0.2, 'sample_size': 2000, 'random_seed': 13, 'min_token_length': 2, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'cpu', 'hf_dtype': 'auto'}",car,,data\car__auto.json,"{'content_readability': 0.5583228174935685, 'content_readability_wordnet_only': 0.4640106481814004, 'llm_uplift_content': 0.09431216931216807, 'llm_mode': 'fallback', 'llm_tokens_count_total': 4, 'unique_tokens_count_total': 20, 'llm_tokens_share_total': 0.2, 'sample_size': 2000, 'random_seed': 13, 'min_token_length': 2, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'cpu', 'hf_dtype': 'auto'}",,llm
