ingredients_text,countries_en
"ail), anüoxydant (ascorbate de sodium), iodate de potassium, conservateur (nitrite de sodium), fumé au bois de hêtre. Conditionné sous atmosphèr protectrice. Ne convient pas enfants de moins de frois a liés au risque dtétouffement.",France
"Farine de _blé_, huile végétale, huile extra-vierge d'olive, tomates en poudre 3%, aromates, sel, levure, basilic 1%, épices, farine de céréales maltées, _petit-lait_ en poudre, amidon de blé, _lactose_, extrait de levure.","France,Italy"
"Fromage nature (400 g) : lait de vache pasteurisé, sel, coagulant, chlorure de calcium, ferments lactiques et de surface, rocou, carmin de cochenille, natamycine, lysozyme (contient oeuf). Fromage aromatisé poivre (200 g) : Lait de vache pasteurisé, sel, poivres verts et noir, arôme naturel poivre, coagulant, chlorure de calcium, ferments lactiques et de surface, rocou, carmin de cochenille, natamycine, lysozyme (contient oeuf). Fromage goût fumé (200 g) : lait de vache pasteurisé, sel, coagulant, chlorure de calcium, ferments lactiques et de surface, natamycine, lysozyme (contient oeuf), rocou, caramel, arôme de fumée.",France
Split mung beans,United States
"Corn syrup, sugar, hydrogenated palm kernel oil, salt, natural and artificial flavors, modified food starch (corn), soy protein, egg whites, soy lecithin, yellow 5, red 40, yellow 6, blue 1.",United States
"_Dinkelmehl_ 35 %; Vollmilchschokolade 30 % (Rohrzucker unraffiniert, Kakaobutter, _Vollmilchpuver_, Kakaomasse), Rohrzucker unraffiniert, _Butter_, Marzipan (_Mandeln_ Rohrzucker unraffiniert, Inverzuckersirup, Wasser), Honig 1,8 %, Backtriebmittel: Natriumhydrogencarbonat (Natron) und Ammoniumhydrogencarbonat (Hirschhornsalz), Meersalz, _Vollmilchpulver_, Säuerungsmittel: Monokaliumartrat (Reinweinstein), Maisstärke.",Germany
"Wheat flour, potato, wheat starch, rice bean oil, palm oil, seasoning powder (salt, yeast extract, sugar, onion powder, hydrolyzed soy protein, coconut fat, citric acid, artificial flavors, garlic powder, disodium guanylate, disodium inosinate, parsley powder, mustard powder), onion.",United States
"Milk chocolate (sugar, cocoa butter, whole milk powder, cocoa liquor, soy lecithin [emulsifier], vanilla extract), dark chocolate (cocoa liquor, sugar, cocoa butter, soy lecithin [emulsifier], vanilla extract, graham cracker (unbleached enriched flour [wh",United States
"Queen olives, water, jalapeno peppers (acetic acid, calcium chloride, potassium sorbate as preservative), salt and lactic acid.",United States
"Pork, water, contains 2% or less of the following: salt, spices, dextrose, sodium tripolyphosphate, monosodium glutamate, natural flavor, bha, bht, citric acid.",United States
"Cacao, pure cane sugar, whole milk, whole vanilla bean.",United States
"Sugar, corn syrup, partially hydrogenated soybean oil, condensed skim milk, cocoa, whey, soya lecithin, artificial and natural flavors.",United States
Natural sea salt.,United States
"All natural coconut water, natural watermelon flavor",United States
"_Weizenmehl_, Zucker. pﬂanzliche Fette (Palm, Palmkern, Kokos in veränderlichen Gewichtsanteilen), Glukosesirup, fettarmes Kakaopulver (4%), Backtriebmittel (Ammoniumhydrogencarbonat, Natriumhydrogencarbonat), Speisesalz, _Magermilchpulver_, _Molkenerzeugnis_, Säureregulator (Natriumcarbonat). Kann Spuren ent alten von: Sofa, Sulﬁte. ﬁchalenfrüchtçn (Ç : Hasçlnﬁsse), Ei. Vo_r Wärme sçhützen. Trocken. lagemz Hergestelrlt in  ","Germany,Switzerland"
"céréales complètes (24%) (flocons d'avoine), sirop de glucose, morceaux de soja torréfiés, farine de riz, sucre, farine de blé, huile de palme, sirop de fructose-glucose, dextrose, riz soufflé, framboise (1.6%), jus de citron concentré, humectant (glycérol), compote de pommes concentré (1.3%), farine d'avoine, compote de framboises concentrée (0.4%), extrait de malt d’orge, lait écrémé en poudre, jus concentré de bale de sureau, matière grasse de palme, arôme, fibres de blé, sel, arômes naturels, correcteurs d’acidité (acide malique, acide citrique), aliments colorants (concentrés de carotte noire, myrtille, cassis), gélifiant (pectine), émulsifiants (lécithine de soja, lécithine de tournesol",Switzerland
"Potatoes, vegetable oil (contains one or more of the following: corn, sunflower, or canola oil), and salt.",United States
"? pommes* (90 %), ? rhubarbe* (demeter&quot;) (10 %) * Ingrédient issu de l'agriculture biologique demcter est la /ljamuc des produits issus de l'agriculture bio-dynamique certifiée Contient des sucres naturellement présents Conseil d'utilisation : Après ouverture, conserver au réfrigérateur. Analyse nutritionnelle moyenne pour 100 ml 220 kJ - 52 kcal Energie Matières grasses Og",France
"_Lachs_, Speisesalz, Zucker, Buchenholzrauch",Germany
"Corn syrup, sugar, modified food starch, natural and artificial flavors, citric acid, sodium citrate, mineral oil, carnauba wax, artificial colors (fd&c red #40).",United States
