ingredients_text,countries_en
"ail), anüoxydant (ascorbate de sodium), iodate de potassium, conservateur (nitrite de sodium), fumé au bois de hêtre. Conditionné sous atmosphèr protectrice. Ne convient pas enfants de moins de frois a liés au risque dtétouffement.",France
"Farine de _blé_, huile végétale, huile extra-vierge d'olive, tomates en poudre 3%, aromates, sel, levure, basilic 1%, épices, farine de céréales maltées, _petit-lait_ en poudre, amidon de blé, _lactose_, extrait de levure.","France,Italy"
"Fromage nature (400 g) : lait de vache pasteurisé, sel, coagulant, chlorure de calcium, ferments lactiques et de surface, rocou, carmin de cochenille, natamycine, lysozyme (contient oeuf). Fromage aromatisé poivre (200 g) : Lait de vache pasteurisé, sel, poivres verts et noir, arôme naturel poivre, coagulant, chlorure de calcium, ferments lactiques et de surface, rocou, carmin de cochenille, natamycine, lysozyme (contient oeuf). Fromage goût fumé (200 g) : lait de vache pasteurisé, sel, coagulant, chlorure de calcium, ferments lactiques et de surface, natamycine, lysozyme (contient oeuf), rocou, caramel, arôme de fumée.",France
Split mung beans,United States
"Corn syrup, sugar, hydrogenated palm kernel oil, salt, natural and artificial flavors, modified food starch (corn), soy protein, egg whites, soy lecithin, yellow 5, red 40, yellow 6, blue 1.",United States
"_Dinkelmehl_ 35 %; Vollmilchschokolade 30 % (Rohrzucker unraffiniert, Kakaobutter, _Vollmilchpuver_, Kakaomasse), Rohrzucker unraffiniert, _Butter_, Marzipan (_Mandeln_ Rohrzucker unraffiniert, Inverzuckersirup, Wasser), Honig 1,8 %, Backtriebmittel: Natriumhydrogencarbonat (Natron) und Ammoniumhydrogencarbonat (Hirschhornsalz), Meersalz, _Vollmilchpulver_, Säuerungsmittel: Monokaliumartrat (Reinweinstein), Maisstärke.",Germany
"Wheat flour, potato, wheat starch, rice bean oil, palm oil, seasoning powder (salt, yeast extract, sugar, onion powder, hydrolyzed soy protein, coconut fat, citric acid, artificial flavors, garlic powder, disodium guanylate, disodium inosinate, parsley powder, mustard powder), onion.",United States
"Milk chocolate (sugar, cocoa butter, whole milk powder, cocoa liquor, soy lecithin [emulsifier], vanilla extract), dark chocolate (cocoa liquor, sugar, cocoa butter, soy lecithin [emulsifier], vanilla extract, graham cracker (unbleached enriched flour [wh",United States
"Queen olives, water, jalapeno peppers (acetic acid, calcium chloride, potassium sorbate as preservative), salt and lactic acid.",United States
"Pork, water, contains 2% or less of the following: salt, spices, dextrose, sodium tripolyphosphate, monosodium glutamate, natural flavor, bha, bht, citric acid.",United States
"Cacao, pure cane sugar, whole milk, whole vanilla bean.",United States
"Sugar, corn syrup, partially hydrogenated soybean oil, condensed skim milk, cocoa, whey, soya lecithin, artificial and natural flavors.",United States
Natural sea salt.,United States
"All natural coconut water, natural watermelon flavor",United States
"_Weizenmehl_, Zucker. pﬂanzliche Fette (Palm, Palmkern, Kokos in veränderlichen Gewichtsanteilen), Glukosesirup, fettarmes Kakaopulver (4%), Backtriebmittel (Ammoniumhydrogencarbonat, Natriumhydrogencarbonat), Speisesalz, _Magermilchpulver_, _Molkenerzeugnis_, Säureregulator (Natriumcarbonat). Kann Spuren ent alten von: Sofa, Sulﬁte. ﬁchalenfrüchtçn (Ç : Hasçlnﬁsse), Ei. Vo_r Wärme sçhützen. Trocken. lagemz Hergestelrlt in  ","Germany,Switzerland"
"céréales complètes (24%) (flocons d'avoine), sirop de glucose, morceaux de soja torréfiés, farine de riz, sucre, farine de blé, huile de palme, sirop de fructose-glucose, dextrose, riz soufflé, framboise (1.6%), jus de citron concentré, humectant (glycérol), compote de pommes concentré (1.3%), farine d'avoine, compote de framboises concentrée (0.4%), extrait de malt d’orge, lait écrémé en poudre, jus concentré de bale de sureau, matière grasse de palme, arôme, fibres de blé, sel, arômes naturels, correcteurs d’acidité (acide malique, acide citrique), aliments colorants (concentrés de carotte noire, myrtille, cassis), gélifiant (pectine), émulsifiants (lécithine de soja, lécithine de tournesol",Switzerland
"Potatoes, vegetable oil (contains one or more of the following: corn, sunflower, or canola oil), and salt.",United States
"? pommes* (90 %), ? rhubarbe* (demeter&quot;) (10 %) * Ingrédient issu de l'agriculture biologique demcter est la /ljamuc des produits issus de l'agriculture bio-dynamique certifiée Contient des sucres naturellement présents Conseil d'utilisation : Après ouverture, conserver au réfrigérateur. Analyse nutritionnelle moyenne pour 100 ml 220 kJ - 52 kcal Energie Matières grasses Og",France
"_Lachs_, Speisesalz, Zucker, Buchenholzrauch",Germany
"Corn syrup, sugar, modified food starch, natural and artificial flavors, citric acid, sodium citrate, mineral oil, carnauba wax, artificial colors (fd&c red #40).",United States
beurre pasteurisé,France
"Ingredients: green beans, water",United States
"Boneless skinless chicken breast, water, seasoning (spices, salt, dried garlic, dried red and green bell pepper, dried onion, yeast extract, sugar, cilantro flakes, citric acid, natural flavor, grill flavor (from sunflower oil), natural smoke flavor).",United States
"Farine de blé 50,6% eau flocons de blé malté toasté 10,4% - graines de tournesol 3,3% - gluten de blé lesure - flocons de seigle malté 2% - flocons de blé 2% huile de colza sucre sel - dextrose - vinaigre d'alcool conservateur : propionate de calcium - émulsifiants . esters monoacétyltartriques et diacétyltartriques des mono- et diglycérides d'acides gras, mono- et diglycérides d'acides gras graines de lin brun 0,2% - graines de millet 0,2% - graines de payotSOJ2?/o? - farine d'orge maltée toastée 0,2% - antioxydant : acide ascorbique - farine d'orge maltée torréfiée 0,01%.",France
Canola oil.,United States
"Cream, skim milk, water, liquid sugar (sugar, water), brown sugar, egg yolks, dried cane syrup, wheat flour, eggs, coconut oil, sugar, butter (cream, salt), milkfat, soybean oil, corn syrup, salt, guar gum, vanilla extract, corn starch, monocalcium phosphate, sodium acid pyrophosphate, sodium bicarbonate, cocoa, molasses, natural flavor, paprika extract (color), soy lecithin, carrageenan, lemon juice concentrate.",United States
"Jambon de porc, sel, dextrose, arômes, antioxydant : E316, conservateur : E250.",France
"Sucre - poudre de lait entier - beurre de cacao - vanille bourbon en poudre 0,4% - arôme naturel de vanille bourbon - émulsifiant : lécithine de colza. Traces de gluten, d'œuf, de soja et de fruits à coque.",France
"Crème glacée vanille : lait écrémé réhydraté, crème fraîche liquide 20%, sirop de glucose-fructose de blé, sucre, lait écrémé concentré, lactose et protéines de lait, extraits de vanille 0,5%, émulsifiant : mono- et diglycérides d'acides gras d'origine végétale, stabilisants (farine de graine de caroube, gomme de guar, carraghénanes), gousses de vanille épuisées broyées colorant : beta-carotène",France
Organic honey.,United States
"Pâte de cacao, sucre, cacao maigre en poudre, _lactose_, beurre de cacao, émulsifiant : lécithine de _soja_, arôme.",France
"lait de vache cru, crème, sel, présure, fleur de surface.",France
"Imported italian tomatoes, cannellini beans, pure italian olive oil, fresh onions, fresh garlic, citric acid, fresh basil leaf, sea salt, spices.",United States
"Préparation à base de surimi saveur crabe 35 % (surimi 13,4 % (chair de _poisson_ 12,2 %, sucre, stabilisants : E420 - E450, blancs d'_œufs_), eau, fécule de pomme de terre, blanc d'_œuf_ réhydraté, huile de colza, sel, sucre, colorants : E120, E160c, arôme (contient _crustacés_)), huile de colza, chair de _crabe_ tourteau (cancer pagurus) 12 %, eau, _œufs_, vinaigre, sucre, poudre de jaunes d'_œufs_, _moutarde_ (eau, vinaigre, graines de moutarde, sel, épices), sel, extraits naturels et aromates (contient _poisson_), jaunes d'_œufs_ salés, amidon transformé de maïs, acidifiant : E330, conservateurs : E202 - E211, épaississant : E415, antioxydant : E385.",France
"*organic raw cane sugar, *organic cocoa butter, organic whole milk powder, *organic chocolate liquor, *organic unrefined whole cane sugar.",United States
"Wheat farina, malted barley, calcium carbonate, ferric orthophosphate (iron), niacin (niacinamide), vitamin b6 (pyridoxine hydrochloride), folate (folic acid), vitamin b1 (thiamin mononitrate), vitamin b2 (riboflavin).",United States
"Agua, semillas de _soja_* (8%), azúcar, cacao magro en polvo* (1,6%), alga marina Lithothamnium calcareum, sal marina, espesante: carragenanos (E-407). (* Ingredientes procedentes de la agricultura ecológica).",Spain
Organic peanuts and sea salt.,United States
"Durum semolina, niacin, ferrous sulfate (iron), thiamine mononitrate, riboflavin, folic acid.",United States
"Torsades cuites et assaisonnées 34 % (eau, semoule de blé dur, blanc d'œuf, curcuma, huile de colza, sel), eau, Noix de Saint-Jacques 10 % (*Zygochlamys patagonica, origine Argentine), carottes 7,6 %, crevettes 6,6 % (dont sel), poireaux 5 % (dont sel), céleri 4,2 %, crème fraîche, jus de citron, sauce soja (eau, graines de soja, blé, sel), miel, amidon transformé de riz, huile de colza, gingembre, ail, coriandre, sel, poivre, gomme de xanthane.",France
"Organic tomato puree, organic sugar, organic white vinegar, salt, organic onion powder, organic spices",United States
