title,country,rating,listed_in,description
"Game Over, Man!",United States,TV-MA,"Action & Adventure, Comedies",Three buddies with big dreams go from underachieving slackers to badass warriors when their posh hotel is taken over by terrorists.
Arsenio Hall: Smart & Classy,United States,TV-MA,Stand-Up Comedy,"In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes."
Kazoops!,Australia,TV-Y,Kids' TV,Music meets imagination in this inventive animated series about thinking outside the box and having fun.
We Are the Champions,United States,TV-MA,"Docuseries, Reality TV","Explore an array of unique competitions, from the quirky to the bizarre, and meet their passionate communities in this docuseries."
"Pablo Escobar, el patrón del mal",Colombia,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar."
Saint Seiya: The Lost Canvas,Japan,TV-MA,"Anime Series, International TV Shows",This anime adventure follows the battle between a saint of Athena and an avatar of Hades who's working on a painting that could destroy the world.
Fauda,Israel,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure","A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion."
The Cook of Castamar,,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. Múñez."
The App That Stole Christmas,United States,TV-PG,"Children & Family Movies, Comedies","A tech entrepreneur's Christmas shopping app is a smashing success, but he starts to realize his invention might be ruining the holiday spirit."
Mute,"United Kingdom, Germany",TV-MA,"Sci-Fi & Fantasy, Thrillers","When his girlfriend vanishes, a mute man ventures into a near-future Berlin's seamy underworld, where his actions speak louder than words."
"Drugs, Inc.",United States,TV-MA,"Crime TV Shows, Docuseries","This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption."
Den of Thieves,United States,R,Action & Adventure,A highly skilled crew of bank robbers plotting a heist at the supposedly impenetrable Federal Reserve faces off against an elite unit of L.A. cops.
The President's Barber,South Korea,TV-MA,"Comedies, Dramas, International Movies","The personal barber to the president, as well as his wife and only son, get tangled in the political chaos that gripped South Korea in the late 1900s."
